Date,Open,High,Low,Close
2020-09-11,974.96,979.23,968.48,973.83
2020-09-14,979.26,981.70,977.51,980.14
2020-09-15,986.94,989.20,982.20,983.64
2020-09-16,987.06,987.50,973.79,973.79
2020-09-17,964.35,974.01,962.62,970.37
2020-09-18,973.24,974.53,966.55,968.21
2020-09-21,955.36,957.71,943.59,957.71
2020-09-22,961.97,970.22,958.85,967.76
2020-09-23,971.38,972.26,950.59,950.82
2020-09-24,949.05,961.19,946.14,956.22
2020-09-25,954.44,967.50,951.84,966.18
2020-09-28,976.72,979.74,973.34,976.60
2020-09-29,975.65,975.65,969.26,973.77
2020-09-30,975.07,977.66,965.48,967.27
2020-10-01,971.21,972.43,965.84,969.49
2020-10-02,959.85,972.39,958.76,971.32
2020-10-05,975.02,984.11,973.72,983.40
2020-10-06,985.78,986.13,971.21,973.01
2020-10-07,980.04,986.57,979.10,985.81
2020-10-08,988.76,991.62,988.44,991.28
2020-10-09,993.32,995.09,988.62,990.95
2020-10-13,991.41,991.41,984.25,987.83
2020-10-14,990.27,991.73,983.10,983.99
2020-10-15,975.23,987.75,974.15,986.63
2020-10-16,988.47,990.17,982.56,982.67
2020-10-19,985.23,985.23,971.43,972.22
2020-10-20,977.19,977.96,969.81,971.53
2020-10-21,968.80,972.48,965.42,966.63
2020-10-22,966.48,971.68,962.61,970.52
2020-10-23,972.23,973.84,967.95,972.54
2020-10-26,966.43,967.16,954.08,959.91
2020-10-27,959.93,960.71,953.49,954.81
2020-10-28,944.45,944.45,930.23,930.90
2020-10-29,934.78,939.48,926.36,934.83
2020-10-30,930.88,932.10,919.76,928.90
2020-11-02,935.00,935.88,926.60,933.66
2020-11-03,938.66,950.66,938.66,948.20
2020-11-04,955.57,959.78,945.78,952.30
2020-11-05,966.26,971.08,965.38,969.16
2020-11-06,971.77,994.65,963.70,989.54
2020-11-09,989.51,992.67,979.66,980.43
2020-11-10,982.36,994.88,982.36,993.26
2020-11-11,1000.02,1004.87,997.32,1003.13
2020-11-12,1002.03,1003.30,987.26,990.52
2020-11-13,995.96,999.39,994.05,994.82
2020-11-16,1001.42,1007.86,997.88,1007.86
2020-11-17,1002.55,1012.46,1000.52,1012.28
2020-11-18,1013.61,1014.86,1008.94,1009.38
2020-11-19,1006.60,1011.25,1004.62,1010.61
2020-11-20,1011.19,1018.44,1008.74,1016.70
2020-11-23,1019.60,1024.17,1017.88,1021.89
2020-11-24,1029.06,1035.50,1028.13,1033.31
2020-11-25,1032.88,1035.33,1028.87,1034.60
2020-11-26,1033.81,1037.29,1033.52,1035.96
2020-11-27,1034.33,1039.05,1034.33,1038.07
2020-11-30,1034.17,1034.17,1022.17,1023.52
2020-12-01,1037.79,1040.53,1029.21,1029.96
2020-12-02,1028.52,1034.61,1025.75,1034.43
2020-12-03,1035.65,1039.00,1034.00,1035.48
2020-12-04,1037.82,1042.65,1037.42,1042.38
2020-12-07,1040.71,1047.75,1037.70,1046.74
2020-12-08,1044.11,1051.91,1044.03,1050.99
2020-12-09,1051.98,1052.82,1042.94,1048.13
2020-12-10,1042.46,1049.90,1040.67,1049.35
2020-12-11,1045.87,1046.75,1041.75,1046.51
2020-12-14,1050.20,1050.41,1035.69,1035.91
2020-12-15,1040.85,1044.63,1038.62,1041.56
2020-12-16,1045.47,1047.88,1041.01,1046.68
2020-12-17,1050.92,1052.97,1048.05,1050.71
2020-12-18,1052.32,1052.42,1043.67,1044.94
2020-12-21,1034.67,1042.92,1030.11,1042.40
2020-12-22,1044.97,1047.73,1041.04,1046.36
2020-12-23,1048.31,1051.21,1046.63,1047.25
2020-12-24,1047.53,1050.04,1045.84,1048.98
2020-12-29,1047.63,1050.85,1041.93,1043.86
2020-12-30,1045.88,1047.64,1041.24,1041.69
2020-12-31,1039.97,1043.04,1034.41,1034.76
2021-01-04,1043.09,1043.45,1032.43,1039.36
2021-01-05,1040.34,1049.43,1040.28,1048.78
2021-01-06,1050.99,1063.59,1050.99,1058.28
2021-01-07,1064.54,1072.10,1062.83,1070.40
2021-01-08,1072.35,1073.30,1067.02,1072.92
2021-01-11,1066.62,1073.45,1066.37,1067.00
2021-01-12,1069.64,1071.71,1064.02,1069.98
2021-01-13,1070.65,1070.95,1064.77,1067.15
2021-01-14,1069.39,1071.90,1067.03,1067.62
2021-01-15,1068.11,1069.10,1059.90,1066.74
2021-01-18,1064.93,1069.77,1064.92,1068.04
2021-01-19,1069.85,1072.51,1065.47,1066.73
2021-01-20,1069.81,1069.81,1062.97,1068.94
2021-01-21,1069.19,1069.19,1060.72,1063.01
2021-01-22,1057.88,1060.04,1055.89,1058.57
2021-01-25,1057.21,1061.20,1050.72,1060.79
2021-01-26,1062.72,1062.72,1051.84,1052.18
2021-01-27,1046.72,1046.72,1028.90,1029.47
2021-01-28,1038.57,1050.18,1035.14,1046.82
2021-01-29,1041.59,1041.59,1024.13,1026.60
2021-02-01,1037.04,1046.35,1033.96,1044.68
2021-02-02,1050.17,1060.65,1050.17,1059.25
2021-02-03,1060.50,1061.37,1055.54,1060.75
